year,month,day,hour,minute,second,latitude,longitude,depth,mag_type,magnitude
1973,8,12,9,6,54.0,32.83,104.0,0,ML,2.5
1973,8,12,9,58,46.0,32.78,104.0,0,ML,2.2
1973,8,12,10,3,54.0,32.85,104.03,0,ML,2.1
1973,8,12,10,20,13.0,32.85,104.0,0,ML,2.7
1973,8,12,11,8,42.0,32.87,104.0,0,ML,2.5
1973,8,12,11,11,31.0,32.87,104.0,0,ML,2.4
1973,8,12,11,21,56.0,32.85,103.95,0,ML,2.1
1973,8,12,11,41,0.0,32.9,103.9,0,ML,2.9
1973,8,12,11,59,49.0,32.93,104.1,0,ML,2.7
1973,8,12,12,9,31.0,32.88,104.0,0,ML,2.7
1973,8,12,12,39,22.0,32.85,104.0,0,ML,2.6
1973,8,12,13,43,0.0,32.88,103.88,0,ML,2.0
1973,8,12,14,1,23.0,32.82,104.0,0,ML,2.8
1973,8,12,14,45,44.0,32.9,103.9,0,ML,2.5
1973,8,12,15,35,43.0,32.95,103.88,0,ML,1.9
1973,8,12,15,50,48.0,32.85,104.0,0,ML,2.4
1973,8,12,16,24,14.0,32.9,104.0,0,ML,2.1
1973,8,12,16,35,59.0,32.92,104.03,0,ML,2.0
1973,8,12,17,6,43.0,32.95,104.0,0,ML,1.8
1973,8,12,17,33,0.0,32.97,103.92,0,ML,2.2
1973,8,12,17,38,40.0,32.83,104.0,0,ML,2.6
1973,8,12,18,4,54.0,32.95,104.0,0,ML,2.2
1973,8,12,18,17,6.0,32.83,104.0,0,ML,2.3
1973,8,12,18,17,52.0,32.95,103.87,0,ML,2.3
1973,8,12,19,1,29.0,32.93,103.93,0,ML,2.0
1973,8,12,19,23,18.0,32.88,103.97,0,ML,2.2
1973,8,12,19,30,3.0,32.9,103.92,0,ML,2.3
1973,8,12,19,57,51.0,32.97,103.78,0,ML,2.4
1973,8,12,20,23,57.0,32.93,104.0,0,ML,3.0
1973,8,12,23,15,23.0,32.88,104.0,0,ML,2.9
1973,8,13,1,45,11.0,33.0,104.0,0,ML,3.1
1973,8,13,6,15,42.0,32.9,103.9,0,ML,4.2
1973,8,13,7,8,22.0,33.0,103.92,0,ML,3.0
1973,8,13,8,36,59.0,32.8,104.05,0,ML,2.8
1973,8,13,8,37,34.0,32.83,104.0,0,ML,2.1
1973,8,13,15,4,9.0,32.9,103.9,0,ML,4.2
1973,8,13,17,6,27.0,32.83,103.9,0,ML,2.7
1973,8,13,17,16,16.0,32.77,104.0,0,ML,2.5
1973,8,13,17,38,59.0,32.8,103.95,0,ML,2.6
1973,8,13,17,54,0.0,32.8,103.98,0,ML,2.9
1973,8,13,18,26,28.0,32.78,104.08,0,ML,2.9
1973,8,13,20,45,41.0,32.8,104.1,0,ML,2.9
1973,8,13,23,59,10.0,32.72,104.1,0,ML,2.4
1973,8,14,3,22,55.0,32.9,103.8,0,ML,3.1
1973,8,14,6,27,38.0,32.87,104.0,0,ML,2.8
1973,8,14,7,58,2.0,32.92,103.92,0,ML,3.1
1973,8,14,8,29,29.0,32.78,104.08,0,ML,2.2
1973,8,14,8,59,27.0,32.98,103.98,0,ML,2.2
1973,8,14,11,13,21.0,33.0,103.93,0,ML,2.5
1973,8,14,11,50,10.0,32.97,104.0,0,ML,2.5
1973,8,14,11,53,29.0,32.93,104.03,0,ML,2.7
1973,8,14,13,31,19.0,32.98,104.3,0,ML,2.1
1973,8,14,15,14,56.0,32.75,104.0,0,ML,2.5
